UT,PY,AU
ISI:000075584300003,1998,"Jonhagen, ME; Nordberg, A; Amberla, K; Backman, L; Ebendal, T; Meyerson, B; Olson, L; Seiger, A; Shigeta, M; Theodorsson, E; Viitanen, M; Winblad, B; Wahlund, LO"
ISI:000075591500044,1998,"Hansebo, G; Kihlgren, M; Ljunggren, G; Winblad, B"
ISI:000076035000007,1998,"Yamada, H; Dahl, ML; Lannfelt, L; Viitanen, M; Winblad, B; Sjoqvist, F"
ISI:000076191600003,1998,"Aguero-Torres, H; Fratiglioni, L; Guo, ZC; Viitanen, M; von Strauss, E; Winblad, B"
ISI:000076198300006,1998,"Jelic, V; Dierks, T; Amberla, K; Almkvist, O; Winblad, B; Nordberg, A"
ISI:000076198600016,1998,"Zhu, L; Fratiglioni, L; Guo, ZC; Aguero-Torres, H; Winblad, B; Viitanen, M"
ISI:000076230100039,1998,"Corder, EH; Robertson, K; Lannfelt, L; Bogdanovic, N; Eggertsen, G; Wilkins, J; Hall, C"
ISI:000076241100013,1998,"Islam, A; Kalaria, RN; Winblad, B; Adem, A"
ISI:000076316300013,1998,"Gibson, GE; Zhang, H; Sheu, KFR; Bogdanovich, N; Lindsay, JG; Lannfelt, L; Vestling, M; Cowburn, RF"
ISI:000076336600007,1998,"Corder, EH; Lannfelt, L; Bogdanovic, N; Fratiglioni, L; Mori, H"
ISI:000076367800013,1998,"Suo, ZM; Tan, J; Placzek, A; Crawford, F; Fang, CH; Mullan, M"
ISI:000076540400031,1998,"Crawford, F; Soto, C; Suo, ZM; Fang, CH; Parker, T; Sawar, A; Frangione, B; Mullan, M"
ISI:000076573800057,1998,"Corder, E; Lannfelt, L; Mulder, M"
ISI:000076634300009,1998,"Guo, ZC; Wills, P; Viitanen, M; Fastbom, J; Winblad, B"
ISI:000076771200042,1998,"Tan, J; Parker, T; Placzek, A; Humphrey, J; Crawford, F; Mullen, M"
ISI:000076840900003,1998,"Jansson, W; Almberg, B; Grafstrom, M; Winblad, B"
ISI:000076939900041,1998,"Almberg, B; Jansson, W; Grafstrom, M; Winblad, B"
ISI:000076980700023,1998,"Barker, W; Harwood, D; Duara, R; Mullan, M; Fallin, D; Hyslop, PSG; Rogaeva, E; Song, YQ"
ISI:000077084100003,1998,"Aguero-Torres, H; Fratiglioni, L; Winblad, B"
ISI:000077195100004,1998,"Paris, D; Town, T; Parker, TA; Humphrey, J; Mullan, M"
ISI:000077219500005,1998,"Viitanen, M; Johansson, K; Bogdanovic, N; Berkowicz, A; Druid, H; Eriksson, A; Krantz, P; Laaksonen, H; Sandler, H; Saukko, P; Thiblin, I; Winblad, B; Kalimo, H"
ISI:000077355300013,1998,"Yamada, H; Dahl, ML; Viitanen, M; Winblad, B; Sjoqvist, F; Lannfelt, L"
ISI:000077355300017,1998,"Nordberg, A; Amberla, K; Shigeta, M; Lundqvist, H; Viitanen, M; Hellstrom-Lindahl, E; Johansson, M; Andersson, J; Hartvig, P; Lilja, A; Langstrom, B; Winblad, B"
ISI:000077382300016,1998,"Mattila, KM; Forsell, C; Pirttila, T; Rinne, JO; Lehtimaki, T; Roytta, M; Lilius, L; Eerola, A; St George-Hyslop, PH; Frey, H; Lannfelt, L"
ISI:000077408300005,1998,"Suo, ZM; Humphrey, J; Kundtz, A; Sethi, F; Placzek, A; Crawford, F; Mullan, M"
ISI:000077797900001,1999,"Axelman, K; Basun, H; Lannfelt, L"
ISI:000077934200189,1999,"Kostulas, K; Huang, WX; Crisby, M; He, B; Lannfelt, L; Eggertsen, G; Kostulas, V; Hillert, J"
ISI:000077974400010,1999,"Sheu, KFR; Brown, AM; Haroutunian, V; Kristal, BS; Thaler, H; Lesser, M; Kalaria, RN; Relkin, NR; Mohs, RC; Lilius, L; Lannfelt, L; Blass, JP"
ISI:000078064000008,1998,"Suo, ZM; Crawford, F; Fang, CH; Paris, D; Parker, T; Placzek, A; Humphrey, J; Mullan, M"
ISI:000078087000007,1999,"Simic, G; Mrzljak, L; Fucic, A; Winblad, B; Lovric, H; Kostovic, I"
ISI:000078087000012,1999,"Diana, A; van Dam, AM; Winblad, B; Schultzberg, M"
ISI:000078103800101,1999,"Adem, A; Blange, I; Sylven, C; Winblad, B; Mulugeta, E; Karlsson, E; Mustafa, A"
ISI:000078166900004,1999,"Kumlien, S; Axelsson, K; Ljunggren, G; Winblad, B"
ISI:000078179000002,1999,"Cacabelos, R; Takeda, M; Winblad, B"
ISI:000078274400024,1999,"Nishimura, M; Yu, G; Levesque, G; Zhang, DM; Ruel, L; Chen, F; Milman, P; Holmes, E; Liang, Y; Kawarai, T; Jo, E; Supala, A; Rogaeva, E; Xu, DM; Janus, C; Levesque, L; Bi, Q; Duthie, M; Rozmahel, R; Mattila, K; Lannfelt, L; Westaway, D; Mount, HTJ; Woodgett, J; Fraser, PE; St George-Hyslop, P"
ISI:000078338800006,1999,"Larsson, M; Semb, H; Winblad, B; Amberla, K; Wahlund, LO; Backman, L"
ISI:000078381500012,1999,"Su, GC; Arendash, GW; Kalaria, RN; Bjugstad, KB; Mullan, M"
ISI:000078512900020,1999,"Harwood, DG; Barker, WW; Loewenstein, DA; Ownby, RL; St George-Hyslop, P; Mullan, M; Duara, R"
ISI:000078603200031,1999,"Marutle, A; Warpman, U; Bogdanovic, N; Lannfelt, L; Nordberg, A"
ISI:000078677400012,1999,"Houlden, H; Rizzu, P; Stevens, M; de Knijff, P; van Duijn, CM; van Swieten, JC; Heutink, P; Perez-Tur, J; Thomas, V; Baker, M; Morris, H; Rossor, M; Jannsen, JC; Petersen, RC; Dodd, P; Dark, F; Boeve, B; Dickson, D; Davies, P; Pickering-Brown, S; Mann, D; Adamson, J; Lynch, T; Payami, H; Poorkaj, P; Bird, TD; Schellenberg, GD; Chakraverty, S; Norton, J; Morris, JC; Goate, A; Hutton, M; Hardy, J"
ISI:000078947100006,1999,"Bronge, L; Fernaeus, SE; Blomberg, M; Ingelson, M; Lannfelt, L; Isberg, B; Wahlund, LO"
ISI:000079420300013,1999,"Winblad, B; Poritis, N"
ISI:000079453500008,1999,"Wang, HX; Fratiglioni, L; Frisoni, GB; Viitanen, M; Winblad, B"
ISI:000079477000020,1999,"Baker, M; Litvan, I; Houlden, H; Adamson, J; Dickson, D; Perez-Tur, J; Hardy, J; Lynch, T; Bigio, E; Hutton, M"
ISI:000079504300012,1999,"Jensen, M; Schroder, J; Blomberg, M; Engvall, B; Pantel, J; Ida, N; Basun, H; Wahlund, LO; Werle, E; Jauss, M; Beyreuther, K; Lannfelt, L; Hartmann, T"
ISI:000079649200004,1999,"Vestling, M; Cedazo-Minguez, A; Adem, A; Wiehager, B; Racchi, M; Lannfelt, L; Cowburn, RF"
ISI:000079703000011,1999,"Hilleras, PK; Jorm, AF; Herlitz, A; Winblad, B"
