UT,PY,AU
ISI:000088666300005,2000,"Jelic, V; Johansson, SE; Almkvist, O; Shigeta, M; Julin, P; Nordberg, A; Winblad, B; Wahlund, LO"
ISI:000088671200028,2000,"Corder, EH; Basun, H; Fratiglioni, L; Guo, Z; Lannfelt, L; Viitanen, M; Corder, LS; Manton, KG; Winblad, B"
ISI:000088887000451,2000,"Soininen, H; Winblad, B; Engedal, K; Verhey, F; Wimo, A; Wetterholm, AL; Zhang, R; Haglund, A; Subbiah, P"
ISI:000088974900002,2000,"Wahlin, TBR; Backman, L; Lundin, A; Haegermark, A; Winblad, B; Anvret, M"
ISI:000089024600105,2000,"Houlden, H; Baker, M; Bhatia, K; Hutton, M; Wood, N"
ISI:000089110600004,2000,"Jonsson, L; Jonsson, B; Wimo, K; Whitehouse, P; Winblad, B"
ISI:000089295300002,2000,"Simic, G; Lucassen, PJ; Krsnik, Z; Kruslin, B; Kostovic, I; Winblad, B; Bogdanovic, N"
ISI:000089400701960,2000,"Masterman, T; Hillert, J; Lannfelt, L; Corder, EH"
ISI:000089537900002,2000,"Winblad, B; Wimo, A; Almkvist, O"
ISI:000089689400003,2000,"Abbas, N; Zou, LP; Pelidou, SH; Winblad, B; Zhu, J"
ISI:000089753300015,2000,"Tan, J; Town, T; Mori, T; Wu, YJ; Saxe, M; Crawford, F; Mullan, M"
ISI:000089951100015,2000,"Dierks, T; Jelic, V; Pascual-Marqui, RD; Wahlund, LO; Julin, P; Linden, DEJ; Maurer, K; Winblad, B; Nordberg, A"
ISI:000090004100003,2000,"Winblad, B; Carfagna, N; Bonura, L; Rossini, BM; Wong, EHF; Battaglia, A"
ISI:000090064900008,2000,"Almberg, B; Grafstrom, M; Krichbaum, K; Winblad, B"
ISI:000090093100022,2000,"Corder, EH; Woodbury, MA; Volkmann, I; Madsen, DK; Bogdanovic, N; Winblad, B"
ISI:000165130000018,2000,"Houlden, H; Baker, M; McGowan, E; Lewis, P; Hutton, M; Crook, R; Wood, NW; Kumar-Singh, S; Geddes, J; Swash, M; Scaravilli, F; Holton, JL; Lashley, T; Tomita, T; Hashimoto, T; Verkkoniemi, A; Kalimo, H; Somer, M; Paetau, A; Martin, JJ; Van Broeckhoven, C; Golde, T; Hardy, J; Haltia, M; Revesz, T"
ISI:000165276500016,2000,"von Stauss, E; Fratigtioni, L; Viitanen, M; Forsell, Y; Winblad, B"
ISI:000165312900001,2000,"Fahlander, K; Wahlin, A; Fastbom, J; Grut, M; Forsell, Y; Hill, RD; Winblad, B; Backman, L"
ISI:000165397300006,2000,"Andersen, C; Fabre, SF; Ostberg, P; Lannfelt, L; Wahlund, LO"
ISI:000165593200011,2000,"Zou, LP; Ljunggren, HG; Levi, M; Nennesmo, I; Wahren, B; Mix, E; Winblad, B; Schalling, M; Zhu, J"
ISI:000165639400010,2000,"Huang, C; Wahlund, LO; Dierks, T; Julin, P; Winblad, B; Jelic, V"
ISI:000166149200001,2001,"Brane, G; Gottfries, CG; Winblad, B"
ISI:000166149200006,2001,"Fernaeus, SE; Almkvist, O; Bronge, L; Ostberg, P; Hellstrom, A; Winblad, B; Wahlund, LO"
ISI:000166337400012,2000,"Town, T; Schinka, J; Tan, J; Mullan, M"
ISI:000166432600012,2000,"Eriksson, C; Zou, LP; Ahlenius, S; Winblad, B; Schultzberg, M"
ISI:000166615500006,2000,"Nordberg, M; Winblad, B; Basun, H"
ISI:000166718300005,2001,"Guo, ZC; Fratiglioni, L; Viitanen, M; Lannfelt, L; Basun, H; Fastbom, J; Winblad, B"
ISI:000166914200005,2001,"Winblad, B; Carfagna, N; Bonura, L"
ISI:000166925900020,2001,"Holton, JL; Ghiso, J; Lashley, T; Rostagno, A; Guerin, CJ; Gibb, G; Houlden, H; Ayling, H; Martinian, L; Anderton, BH; Wood, NW; Vidal, R; Plant, G; Frangione, B; Revesz, T"
ISI:000167006700011,2001,"Blomberg, M; Jensen, M; Basun, H; Lannfelt, L; Wahlund, LO"
ISI:000167075100004,2000,"Huang, C; Julin, P; Jelic, V; Dierks, T; Winblad, B; Wahlund, LO"
ISI:000167161900008,2001,"Sennvik, K; Benedikz, E; Fastbom, J; Sundstrom, E; Winblad, B; Ankarcrona, M"
ISI:000167441900006,2001,"Andreasen, N; Minthon, L; Davidsson, P; Vanmechelen, E; Vanderstichele, H; Winblad, B; Blennow, K"
ISI:000167442900053,2001,"Steiner, H; Revesz, T; Neumann, M; Romig, H; Grim, MG; Pesold, B; Kretzschmar, HA; Hardy, J; Holton, JL; Baumeister, R; Houlden, H; Haass, C"
ISI:000167504700044,2001,"Arnaiz, E; Jelic, V; Almkvist, O; Wahlund, LO; Winblad, B; Valind, S; Nordberg, A"
ISI:000167543900005,2001,"Giron, MST; Wang, HX; Bernsten, C; Thorslund, M; Winblad, B; Fastbom, J"
ISI:000167880000015,2001,"Houlden, H; King, RHM; Hashemi-Nejad, A; Wood, NW; Mathias, CJ; Reilly, M; Thomas, PK"
ISI:000167904100022,2001,"Fabre, SF; Forsell, C; Viitanen, M; Sjogren, M; Wallin, A; Blennow, K; Blomberg, M; Andersen, C; Wahlund, LO; Lannfelt, L"
ISI:000167905600009,2001,"Ingelson, M; Fabre, SF; Lilius, L; Andersen, C; Viitanen, M; Almkvist, O; Wahlund, LO; Lannfelt, L"
ISI:000167946400012,2001,"Zhu, J; Zou, LP; Zhu, SW; Mix, E; Shi, FD; Wang, HB; Volkmann, I; Winblad, B; Schalling, M; Ljunggren, HG"
ISI:000168171200020,2001,"McEntagart, M; Norton, N; Williams, H; Teare, MD; Dunstan, M; Baker, P; Houlden, H; Reilly, M; Wood, N; Harper, PS; Futreal, PA; Williams, N; Rahman, N"
ISI:000168260200001,2001,"Ingelson, M; Fabre, SF; Lilius, L; Andersen, C; Viitanen, M; Almkvist, O; Wahland, LO; Lannfelt, L"
ISI:000168270600295,2001,"Harwood, DG; Barker, WW; Dunkley, M; Mullan, M; St George-Hyslop, PH; Duara, R"
ISI:000168331300093,2001,"Mastey, V; Wimo, A; Winblad, B; Haglund, A; Jacobson, L; Miceli, R; Zhang, R; Subbiah, P"
ISI:000168520900007,2001,"Ericsson, K; Winblad, B; Nilsson, LG"
ISI:000168801600009,2001,"Cedazo-Minguez, A; Wiehager, B; Winblad, B; Huttinger, M; Cowburn, RF"
ISI:000168813600013,2001,"Lannfelt, L; Nilsberth, C"
ISI:000168927400005,2001,"Houlden, H; King, RHM; Wood, NW; Thomas, PK; Reilly, MM"
ISI:000168975200002,2001,"Davidsson, P; Bogdanovic, N; Lannfelt, L; Blennow, K"
ISI:000169189800024,2001,"Zhu, Y; Ljunggren, HG; Mix, E; Li, HL; van der Meide, P; Elhassan, AM; Winblad, B; Zhu, J"
ISI:000169424200016,2001,"Houlden, H; Baker, M; Morris, HR; MacDonald, N; Pickering-Brown, S; Adamson, J; Lees, AJ; Rossor, MN; Quinn, NP; Kertesz, A; Khan, MN; Hardy, J; Lantos, PL; George-Hyslop, PS; Munoz, DG; Mann, D; Lang, AE; Bergeron, C; Bigio, EH; Litvan, I; Bhatia, KP; Dickson, D; Wood, NW; Hutton, M"
ISI:000169785800011,2001,"Town, T; Tan, J; Sansone, N; Obregon, D; Klein, T; Mullan, M"
ISI:000169834100005,2001,"Wahlin, TBR; Wahlin, A; Winblad, B; Backman, L"
ISI:000170018400020,2001,"Aguero-Torres, H; Hilleras, PK; Winblad, B"
ISI:000170018400021,2001,"Hilleras, PK; Aguero-Torres, H; Winblad, B"
ISI:000170019900006,2001,"Aguero-Torres, H; von Strauss, E; Viitanen, M; Winblad, B; Fratiglioni, L"
ISI:000170173600003,2001,"Karelson, E; Bogdanovic, N; Garlind, A; Winblad, B; Zilmer, K; Kullisaar, T; Vihalemm, T; Kairane, C; Zilmer, M"
ISI:000170192200005,2001,"Mori, T; Paris, D; Town, T; Rojiani, AM; Sparks, DL; Delledonne, A; Crawford, F; Abdullah, LI; Humphrey, JA; Dickson, DW; Mullan, MJ"
ISI:000170410500024,2001,"Winblad, B; Engedal, K; Soininen, H; Verhey, F; Waldemar, G; Wimo, A; Wetterholm, AL; Zhang, R; Haglund, A; Subbiah, P"
ISI:000170427100001,2001,"Winblad, B; Brodaty, H; Gauthier, S; Morris, JC; Orgogozo, JM; Rockwood, K; Schneider, L; Takeda, M; Tariot, P; Wilkinson, D"
ISI:000170698600014,2001,"Nilsberth, C; Westlind-Danielsson, A; Eckman, CB; Condron, MM; Axelman, K; Forsell, C; Stenh, C; Luthman, J; Teplow, DB; Younkin, SG; Naslund, J; Lannfelt, L"
ISI:000170950200020,2001,"Zhu, J; Pelidou, SH; Deretzi, G; Levi, M; Mix, E; van der Meide, P; Winblad, B; Zou, LP"
ISI:000171297900014,2001,"Popescu, BO; Cedazo-Minguez, A; Popescu, LM; Winblad, B; Cowburn, RF; Ankarcrona, M"
ISI:000171450200004,2001,"Winblad, B; Bonura, ML; Rossini, BM; Battaglia, A"
ISI:000171483600006,2001,"Frangione, B; Revesz, T; Vidal, R; Holton, J; Lashley, T; Houlden, H; Wood, N; Rostagno, A; Plant, G; Ghiso, J"
ISI:000171821900008,2001,"Vanmechelen, E; Vanderstichele, H; Hulstaert, F; Andreasen, N; Minthon, L; Winblad, B; Davidsson, P; Blennow, K"
ISI:000172052700006,2001,"Town, T; Tan, J; Mullan, M"
ISI:000172059000023,2001,"Houlden, H; Crook, R; Dolan, RJ; McLaughlin, J; Revesz, T; Hardy, J"
ISI:000172127700013,2001,"Forsell, C; Enmark, E; Axelman, K; Blomberg, M; Wahlund, LO; Gustafsson, JA; Lannfelt, L"
ISI:000172161300061,2001,"Wang, HX; Wahlin, A; Basun, H; Fastbom, J; Winblad, B; Fratiglioni, L"
ISI:000172297700057,2001,"Ghiso, JA; Holton, J; Miravalle, L; Calero, M; Lashley, T; Vidal, R; Houlden, H; Wood, N; Neubert, TA; Rostagno, A; Plant, G; Revesz, T; Frangione, B"
ISI:000172473500012,2001,"Bogdanovica, N; Bretillon, L; Lund, EG; Diczfalusy, U; Lannfelt, L; Winblad, B; Russell, DW; Bjorkhem, I"
ISI:000172473500023,2001,"Russ, C; Powell, JF; Zhao, JH; Baker, M; Hutton, M; Crawford, F; Mullan, M; Roks, G; Cruts, M; Lovestone, S"
ISI:000172713300003,2001,"Petersen, RC; Doody, R; Kurz, A; Mohs, RC; Morris, JC; Rabins, PV; Ritchie, K; Rossor, M; Thal, L; Winblad, B"
ISI:000172713300008,2001,"Qiu, CX; Backman, L; Winblad, B; Aguero-Torres, H; Fratiglioni, L"
ISI:000173052000008,2001,"Ghiso, J; Revesz, T; Holton, J; Rostagno, A; Lashley, T; Houlden, H; Gibb, G; Anderton, B; Bek, T; Bojsen-Moller, M; Wood, N; Vidal, R; Braenagaard, H; Plant, G; Frangione, B"
ISI:000173607500013,2002,"Garcia-Jimenez, A; Cowburn, RF; Ohm, TG; Lasn, H; Winblad, B; Bogdanovic, N; Fastbom, A"
ISI:000173799500017,2002,"Schinka, JA; Town, T; Abdullah, L; Crawford, FC; Ordorica, PI; Francis, E; Hughes, P; Graves, AB; Mortimer, JA; Mullan, M"
ISI:000174014700016,2002,"Tan, J; Town, T; Mori, T; Obregon, D; Wu, YJ; DelleDonne, A; Rojiani, A; Crawford, F; Flavell, RA; Mullan, M"
ISI:000174186400015,2002,"Palmer, K; Wang, HX; Backman, L; Winblad, B; Fratiglioni, L"
ISI:000174301300036,2002,"Winblad, B; Waldemar, G; Wimo, A; Zhang, R"
ISI:000174668200003,2001,"Zhu, J; Mix, E; Winblad, B"
ISI:000174734200014,2002,"Giron, MST; Forsell, Y; Bernsten, C; Thorslund, M; Winblad, B; Fastbom, J"
ISI:000174768900002,2002,"Masterman, T; Zhang, Z; Hellgren, D; Salter, H; Anvret, M; Lilius, L; Lannfelt, L; Hillert, J"
ISI:000174790000006,2002,"Paris, D; Townsend, KP; Humphrey, J; Obregon, DF; Yokota, K; Mullan, M"
ISI:000174875900248,2002,"Barker, WW; Harwood, D; Loewenstein, DA; Bravo, M; Luis, M; Dunkley, M; Hurwitz, D; Perrota, L; Dunkley, M; Roberts, P; Mullan, M; Duara, R"
ISI:000174875900464,2002,"Graves, AB; Mortimer, JA; Wu, YG; Small, BJ; McEvoy, C; Crawford, FC; Mullan, M"
ISI:000175027300004,2002,"Chen, ZG; Ljunggren, HG; Bogdanovic, N; Nennesmo, I; Winblad, B; Zhu, J"
ISI:000175087400010,2002,"Johansson, N; Basun, H; Winblad, B; Nordberg, M"
ISI:000175706300004,2002,"Waegemans, T; Wilsher, CR; Danniau, A; Ferris, SH; Kurz, A; Winblad, B"
ISI:000175981900018,2002,"Zou, LP; Abbas, N; Volkmann, I; Nennesmo, I; Levi, M; Wahren, B; Winblad, B; Hedlund, G; Zhu, J"
ISI:000176065100001,2002,"Wang, HX; Karp, A; Winblad, B; Fratiglioni, L"
ISI:000176114900007,2002,"Abbas, N; Bednar, I; Mix, E; Marie, S; Paterson, D; Ljungberg, A; Morris, C; Winblad, B; Nordberg, A; Zhu, J"
ISI:000176149800004,1998,"Almkvist, O; Basun, H; Backman, L; Herlitz, A; Lannfelt, L; Small, B; Viitanen, M; Wahlund, LO; Winblad, B"
ISI:000176604600005,2002,"Yu, S; Chen, ZG; Mix, E; Zhu, SW; Winblad, B; Ljunggren, HG; Zhu, J"
ISI:000176676700004,2002,"Ait-Ghezala, G; Abdullah, L; Crescentini, R; Crawford, F; Town, T; Singh, S; Richards, D; Duara, R; Mullan, M"
ISI:000176768600013,2002,"Sennvik, K; Nilsberth, C; Stenh, C; Lannfelt, L; Benedikz, E"
ISI:000176839800014,2002,"Tan, J; Town, T; Mullan, M"
ISI:000176853200005,2002,"Bogdanovic, N; Corder, E; Lannfelt, L; Winblad, B"
ISI:000176926500009,2002,"Vestling, M; Cowburn, RF; Winblad, B; Ankarcrona, M"
ISI:000176926500015,2002,"Folkesson, R; Winblad, B; Benedikz, E"
ISI:000176945900018,2002,"Pham, TM; Winblad, B; Granholm, AC; Mohammed, AH"
ISI:000176945900021,2002,"Larsson, F; Winblad, B; Mohammed, AH"
ISI:000177064000009,2002,"Town, T; Zolton, J; Shaffner, R; Schnell, B; Crescentini, R; Wu, YJ; Zeng, J; DelleDonne, A; Obregon, D; Tan, J; Mullan, M"
ISI:000177335800026,2002,"Morris, HR; Baker, M; Yasojima, K; Houlden, H; Khan, MN; Wood, NW; Hardy, J; Grossman, M; Trojanowski, J; Revesz, T; Bigio, EH; Bergeron, C; Janssen, JC; McGeer, PL; Rossor, MN; Lees, AJ; Lantos, PL; Hutton, M"
ISI:000177465300026,2002,"Fratiglioni, L; Wang, HX; Winblad, B"
ISI:000177465300094,2002,"Chen, ZG; Zhu, J; Ljunggren, HG; Bogdanovic, N; Nennesmo, I; Winblad, B"
ISI:000177465300104,2002,"Arnaiz, E; Winblad, B; Wahlund, LO; Almkvist, O"
ISI:000177465300166,2002,"Wlmo, A; Winblad, B; Stoffler, A; Wirth, Y; Mobius, HJ"
ISI:000177465300177,2002,"Takahashi, M; Koyama, K; Ericsson, K; Winblad, B; Yonemura, K; Miyanaga, K"
ISI:000177465300182,2002,"Jonsson, L; Jonhagen, ME; Winblad, B; Kilander, L; Soininen, H; Waldemar, G; Nygaard, H"
ISI:000177465300394,2002,"Town, T; Tan, J; Crawford, F; DelleDonne, A; Mullan, M; Klein, T"
ISI:000177465300560,2002,"Almkvist, O; Winblad, B"
ISI:000177465300564,2002,"Basun, H; Almkvist, O; Axelman, K; Wahlund, LO; Lannfelt, L"
ISI:000177465300635,2002,"Bergman, A; Religa, D; Laudon, H; Lannfelt, L; Nuslund, J; Karlstrom, H; Lendahl, U; Lundqvist, J"
ISI:000177465300666,2002,"Heverin, M; Bretillon, L; Diczfalusy, U; Bjorkhem, I; Bogdanovic, N; Lannfelt, L; Winblad, B; Lund, EG; Russell, DW"
ISI:000177465300686,2002,"Johansson, AS; Lannfelt, L; Paivio, A; Westlind-Danielsson, A"
ISI:000177465300704,2002,"Westlind-Daneilsson, A; Paivio, A; Jarvet, J; Lannfelt, L"
ISI:000177465300708,2002,"Charlotte, S; Lannfelt, L; Nilsberth, C; Hammarback, J; Engvall, B; Naslund, J"
ISI:000177465300736,2002,"Nilsson, T; Folkesson, R; Winblad, B; Benedikz, E"
ISI:000177465300743,2002,"Paivio, A; Jarvet, J; Lannfelt, L; Westlind-Danielsson, A"
ISI:000177465300744,2002,"DelleDonne, A; Mori, T; Paris, D; Town, T; Crawford, F; Abdullah, L; Dickson, D; Mullen, M"
ISI:000177465300749,2002,"Edgren, L; Tjernberg, L; Bogdanovic, N; Winblad, B; Naslund, J; Lee, VMY; Trojanowski, JQ; Zhukareva, V"
ISI:000177465300760,2002,"Laudon, H; Bergman, A; Farmery, MR; Winblad, B; Naslund, J; Karlstrom, H; Lundkvist, J; Lendahl, U; Mathews, P; Gandy, SE"
ISI:000177465300827,2002,"Abbas, N; Winblad, B; Zhu, J; Bednar, I; Svedberg, M; Paterson, D; Nordberg, A; Mix, E; Ljungberg, A"
ISI:000177465300844,2002,"Tan, J; Town, T; Mori, T; Wu, YJ; Crawford, F; Mullan, M"
ISI:000177465300845,2002,"Paris, D; Townsend, K; Humphrey, J; Obregon, D; Crawford, F; Crescentini, R; Mullan, M; Rojiani, AM"
ISI:000177465300846,2002,"Townsend, K; Paris, D; Humphrey, J; Obregon, D; Yokota, K; Mullan, M"
ISI:000177465300847,2002,"Quadros, A; Paris, D; Townsend, K; Obregon, D; Humphrey, J; Mullan, M"
ISI:000177465300913,2002,"Roach, JT; Paris, D; Humphrey, J; Patel, N; Volmar, CH; Crescentini, R; Mullan, M"
ISI:000177465300976,2002,"Town, T; Obregon, D; Zolton, J; Shaffner, R; Schnell, B; Wu, YJ; DelleDonne, A; Crescentini, R; Mullan, M"
ISI:000177465300985,2002,"Ghezala, GA; Abdullah, L; Crescentini, R; Crawford, F; Town, T; Singh, S; Richards, D; Mullan, M; Duara, R"
ISI:000177465301010,2002,"Olsson, A; Gustafsson, K; Sjogren, M; Davidsson, P; Blennow, K; Andreasen, N; Minthon, L; Seubert, P; Lannfelt, L"
ISI:000177465301062,2002,"von Strauss, E; Aguero-Torres, H; Winblad, B; Fratiglioni, L"
ISI:000177465301063,2002,"Wang, HX; Paillard-Borg, S; Winblad, B; Fratiglioni, L"
ISI:000177465301085,2002,"Karp, A; Kareholt, I; Qiu, CX; Winblad, B; Fratiglioni, L; Bellander, T"
ISI:000177465301127,2002,"Axelman, K; Almkvist, O; Wahlund, LO; Lannfelt, L; Carlsson, M"
ISI:000177465301198,2002,"Lilius, L; Forsell, C; Winblad, B; Naslund, J; Tjernberg, L; Axelman, K; Blomberg, M; Wahlund, LO"
ISI:000177465301229,2002,"Forsell, C; Lilius, L; Winblad, B; Naslund, J; Tjernberg, L; Axelman, K; Blomberg, M; Wahlund, LO"
ISI:000177465301296,2002,"Stefanova, E; Almkvist, O; Axelman, K; Amberla, K; Viitanen, M; Norberg, A; Nilsson, A; Lannfelt, L"
ISI:000177465301350,2002,"El-Bakri, NKES; Adem, A; Winblad, B; Islam, A"
ISI:000177465301381,2002,"Adlkofer, F; Aguzzi, A; Baumeister, R; Haass, C; Silva, ODE; DeStrooper, B; Dotti, C; Efthimiopoulos, S; Gomez-Isla, T; Growdon, J; Hardy, J; Hock, C; Nitsch, R; Lannfelt, L; Pohlner, J; Rossor, M; Tovar, K; Unsicker, K; Wiltfang, J"
ISI:000177465301493,2002,"Mullan, M; Town, T; Mori, T; DelleDonne, A; Obregon, D; Crescentini, R; Crawford, F; Tan, J; Flavell, R; Hughes, H"
ISI:000177465301555,2002,"Cornelius, C; Fastbom, J; Winblad, B; Vitanen, M"
ISI:000177465301609,2002,"Crawford, F; Freeman, M; Singh, S; Abdullah, L; Mullan, M; Vanderploeg, R; Waisman, M; Michaels, L; Warden, D; Salazar, A; Lipsky, R"
ISI:000177465301632,2002,"Tomidokoro, Y; Fleire, S; Rostagno, A; Frangione, B; Ghiso, J; Lashley, T; Holton, J; Houlden, H; Revesz, T; Bojsen-Moller, M; Braendgaard, H; Plant, G"
ISI:000177465301635,2002,"Ostojic, J; Lannfelt, L; Fabre, SF; Elfgren, C; Grasbeck, A; Gustafson, L; Larsson, EM; Nilsson, K; Passant, U"
ISI:000177465301699,2002,"Huang, CR; Wahlund, LO; Svensson, L; Winblad, B; Julin, P"
ISI:000177465301710,2002,"Stefanova, E; Axelman, K; Viitanen, M; Nordberg, A; Nilsson, A; Langstrom, B; Andersson, J; Lannfelt, L"
ISI:000177465301737,2002,"Sennvik, K; Folkesson, R; Bogdanovic, N; Fastbom, J; Winblad, B; Benedikz, E"
ISI:000177465301781,2002,"Pei, JJ; An, WL; Cowburn, RF; Winblad, B; Gong, CX; Grundke-Iqbal, I; Iqbal, K"
ISI:000177465301787,2002,"Nakamura, Y; Kishimoto, T; Yoshino, H; Cowburn, R; Winblad, B; Bodanovic, N; Takeda, M"
ISI:000177465301788,2002,"An, WL; Cowburn, RF; Winblad, B; Alafuzoff, I"
ISI:000177465301852,2002,"Sennvik, K; Nilsberth, C; Stenh, C; Benedikz, E; Lannfelt, L"
ISI:000177465301883,2002,"Adem, A; Mulugeta, E; Karlsson, E; Islam, A; Winblad, B; Kalaria, RN"
ISI:000177465301889,2002,"Mangat, H; Winblad, B; Islam, A"
ISI:000177465301906,2002,"Zhu, SW; Winblad, B; Mohammed, AH; Bettschen, D; Feldon, J; Pryce, C"
ISI:000177465302005,2002,"Paris, D; Townsend, K; Obregon, D; Humphrey, J; Quadros, A; DelleDonne, A; Crescentini, R; Crawford, F; Abdullah, L; Mullan, M; Sun, JZ; Brem, S; Wotoczek-Obadia, M; Coppola, D; Rojiani, AM; Sebti, SM"
ISI:000177541900006,2002,"Garfield, FB; Getsios, D; Caro, JJ; Wimo, A; Winblad, B"
ISI:000177702900017,2002,"Lee, MJ; Nelson, I; Houlden, H; Sweeney, MG; Hilton-Jones, D; Blake, J; Wood, NW; Reilly, MM"
ISI:000177934900001,2002,"Crisby, M; Carlson, LA; Winblad, B"
ISI:000178088400013,2002,"Almkvist, O; Axelman, K; Basun, H; Wahlund, LO; Lannfelt, L"
ISI:000178108300003,2002,"Ahlenius, S; Oprica, M; Eriksson, C; Winblad, B; Schultzberg, M"
ISI:000178246700007,2002,"Basun, H; Nilsberth, C; Eckman, C; Lannfelt, L; Younkin, S"
ISI:000178257300006,2002,"Pei, JJ; Braak, H; Gong, CX; Grundke-Iqbal, I; Iqbal, K; Winblad, B; Cowburn, RF"
ISI:000178263600029,2002,"Zhu, Y; Bao, L; Zhu, SW; Chen, ZG; van der Meide, P; Nennesmo, I; Winblad, B; Ljunggren, HG; Zhu, J"
ISI:000178315000016,2002,"El-Bakri, NK; Adem, A; Suliman, IA; Mulugeta, E; Karlsson, E; Lindgren, JU; Winblad, B; Islam, A"
ISI:000179004000001,2002,"Paris, D; Townsend, KP; Obregon, DF; Humphrey, J; Mullan, M"
ISI:000179036200004,2002,"Yuspeh, RL; Vanderploeg, RD; Crowell, TA; Mullan, M"
ISI:000179241400002,2002,"Huang, WY; Qiu, CX; Winblad, B; Fratiglioni, L"
ISI:000179241400008,2002,"Aguero-Torres, H; Thomas, VS; Winblad, B; Fratiglioni, L"
ISI:000179250400008,2002,"Houlden, H; Smith, S; de Carvalho, M; Blake, J; Mathias, C; Wood, NW; Reilly, MM"
ISI:000179447500011,2002,"Tan, J; Town, T; Crawford, F; Mori, T; DelleDonne, A; Crescentini, R; Obregon, D; Flavell, RA; Mullan, MJ"
ISI:000179479700005,2002,"Stenh, C; Nilsberth, C; Hammarback, J; Engvall, B; Naslund, J; Lannfelt, L"
ISI:000179541400555,2002,"Avlund, K; Winblad, B; Morse, D; Holm-Pedersen, P"
ISI:000179542400007,2002,"Town, T; Vendrame, M; Patel, A; Poetter, D; DelleDonne, A; Mori, T; Smeed, R; Crawford, F; Klein, T; Tan, J; Mullan, M"
ISI:000179542400021,2002,"Tan, J; Town, T; Abdullah, L; Wu, Y; Placzek, A; Small, B; Kroeger, J; Crawford, F; Richards, D; Mullan, M"
ISI:000179621200011,2002,"Nikolaev, E; Kaczmarek, L; Zhu, SW; Winblad, B; Mohammed, AH"
ISI:000179625200020,2002,"Winblad, B; Mobius, HJ; Stoffler, A"
ISI:000179640800003,2002,"Aguero-Torres, H; Qiu, CX; Winblad, B; Fratiglioni, L"
ISI:000179669700008,2002,"Mohammed, AH; Zhu, SW; Darmopil, S; Hjerling-Leffler, J; Ernfors, P; Winblad, B; Diamond, MC; Eriksson, PS; Bogdanovic, N"
ISI:000179767000007,2002,"Townsend, KP; Obregon, D; Quadros, A; Patel, N; Volmar, C; Paris, D; Mullan, M"
ISI:000179900600007,2003,"Wimo, A; Winblad, B; Engedal, K; Soininen, H; Verhey, F; Waldemar, G; Wetterholm, AL; Mastey, V; Haglund, A; Zhang, R; Miceli, R; Chin, W; Subbiah, P"
ISI:000180609900030,2003,"Mulugeta, E; Karlsson, E; Islam, A; Kalaria, R; Mangat, H; Winblad, B; Adem, A"
ISI:000180615200015,2003,"Janssen, JC; Beck, JA; Campbell, TA; Dickinson, A; Fox, NC; Harvey, RJ; Houlden, H; Rossor, MN; Collinge, J"
ISI:000180729100012,2003,"Qiu, CX; Karp, A; von Strauss, E; Winblad, B; Fratiglioni, L; Bellander, T"
ISI:000180752600007,2002,"Pei, JJ; Braak, H; An, WL; Winblad, B; Cowburn, RF; Iqbal, K; Grundke-Iqbal, I"
ISI:000180756100012,2003,"Lilius, L; Forsell, C; Axelman, K; Winblad, B; Graff, C; Tjernberg, L"
ISI:000180772900004,2002,"Crowell, TA; Luis, CA; Vanderploeg, RD; Schinka, JA; Mullan, M"
ISI:000180927900010,2003,"Qiu, CX; von Strauss, E; Fastbom, J; Winblad, B; Fratiglioni, L"
ISI:000181105700001,2003,"Palmer, K; Jelic, V; Winblad, B"
ISI:000181105700003,2003,"Palmer, K; Fratiglioni, L; Winblad, B"
ISI:000181105700011,2003,"Almkvist, O; Axelman, K; Basun, H; Jensen, M; Viitanen, M; Wahlund, LO; Lannfelt, L"
ISI:000181105700014,2003,"Jelic, V; Palmer, K; Winblad, B"
ISI:000181466700009,2003,"Qiu, CX; Winblad, B; Viitanen, M; Fratiglioni, L"
ISI:000181853400009,2003,"Pei, JJ; Khatoon, S; An, WL; Nordlinder, M; Tanaka, T; Braak, H; Tsujio, I; Takeda, M; Alafuzoff, I; Winblad, B; Cowburn, RF; Grundke-Iqbal, I; Iqbal, K"
ISI:000181901700018,2003,"Johansson, A; Hampel, H; Faltraco, F; Buerger, K; Minthon, L; Bogdanovic, N; Sjogren, M; Zetterberg, H; Forsell, L; Lilius, L; Wahlund, LO; Rymo, L; Prince, JA; Blennow, K"
ISI:000182092500004,2003,"Wimo, A; Winblad, B; Stoffler, A; Wirth, Y; Mobius, HJ"
ISI:000182347200022,2003,"Ostojic, J; Axelman, K; Lannfelt, L; Froelich-Fabre, S"
ISI:000182367000819,2003,"Tan, J; Town, T; Crawford, F; Mori, T; DelleDonne, A; Crescentini, R; Obregon, D; Flavell, R; Mullan, M"
ISI:000182610400010,2003,"Religa, D; Laudon, H; Styczynska, M; Winblad, B; Naslund, J; Haroutunian, V"
ISI:000182965400004,2003,"Lhatoo, SD; Perunovic, B; Love, S; Houlden, H; Campbell, MJ"
ISI:000183409800016,2003,"Rippon, GA; Crook, R; Baker, M; Halvorsen, E; Chin, S; Hutton, M; Houlden, H; Hardy, J; Lynch, T"
ISI:000183419000243,2003,"Winblad, B; Wimo, A; Mastey, V; Shah, S; Haglund, A; Zhang, R; Miceli, R; Chin, W"
ISI:000183526200007,2003,"Chen, ZG; Yu, S; Bakhiet, M; Winblad, B; Zhu, J"
