Arkansas Democrat
 Atlanta Journal and Constitution
 Baltimore Sun
 Boston Globe
 Boston Herald
 Buffalo News
 Charlotte Observer
 Christian Science Monitor
 Cincinnati Enquirer
 Columbus Dispatch
 Courier-Journal
 Daily News Journal
Daily News
Fort Worth Star
 Hartford Courant
 Indianapolis Star
Journal of Commerce
 Kansas City Star
Miami Herald
 Milwaukee Journal Sentinel
 Oklahoman
 Orange County Register
Orlando Sentinel
Pittsburgh Post
Rocky Mountain News
Sacramento Bee
San Antonio Express-News
St. Louis Post
Sun-Sentinel
 Tampa Tribune
 Times-Picayune
